Target total_coverage counts on_target duplication_rate
chr1:1216042-1216047 443.926229152938 4.43926229152938 1 NA
chr1:1216606-1216678 7159.08602645305 71.5908602645305 1 NA
chr1:1216791-1216991 34462.2481592984 344.622481592984 1 NA
chr1:1217622-1217696 6592.44095847913 65.9244095847914 1 NA
chr1:1219358-1219471 2066.39244137022 20.6639244137022 1 NA
chr1:1220951-1221045 2600.21853541556 26.0021853541556 1 NA
chr1:1221306-1221659 105055.012433347 1050.55012433347 1 NA
chr1:1222148-1222356 27440.0176579058 274.400176579058 1 NA
chr1:1222489-1222680 20192.5350631712 201.925350631712 1 NA
chr1:1222888-1222977 20357.4206705689 203.574206705689 1 NA
chr1:1223053-1223217 17136.0926209277 171.360926209277 1 NA
chr1:1223319-1223418 3678.94175419348 36.7894175419348 1 NA
chr1:1225651-1225769 13274.1604573652 132.741604573652 1 NA
chr1:1225857-1225936 16915.3014557998 169.153014557998 1 NA
chr1:1226017-1226075 4109.88902442919 41.0988902442919 1 NA
chr1:1226275-1226334 1157.24068808142 11.5724068808142 1 NA
chr1:1226445-1226521 2535.57212869466 25.3557212869466 1 NA
chr1:1226634-1226991 36576.1760184121 365.761760184121 1 NA
chr1:3731966-3732082 12900.6131646349 129.006131646349 1 NA
chr1:3732844-3732935 2308.54794559841 23.0854794559841 1 NA
chr1:3739738-3739806 3298.02647877316 32.9802647877316 1 NA
chr1:3739988-3740127 26144.7235458768 261.447235458768 1 NA
chr1:3742322-3742431 10987.6130812684 109.876130812684 1 NA
chr1:3742934-3743001 1448.09705195902 14.4809705195902 1 NA
chr1:3743272-3743309 20130.9149857505 201.309149857505 1 NA
chr1:3745830-3745938 9981.18670042907 99.8118670042907 1 NA
chr1:3746355-3746562 7137.99605076974 71.3799605076974 1 NA
chr1:3747610-3747787 9149.55397435081 91.4955397435081 1 NA
chr1:3750426-3750600 8120.84016675742 81.2084016675742 1 NA
chr1:3751489-3751657 21628.4764105751 216.28476410575 1 NA
chr1:3753059-3753257 16344.7702103622 163.447702103622 1 NA
chr1:3753856-3754084 18313.1117053405 183.131117053405 1 NA
chr1:3755528-3755684 28378.5224044209 283.785224044209 1 NA
chr1:3756172-3756341 13505.8510156569 135.058510156569 1 NA
chr1:3761471-3761548 5242.95566761291 52.4295566761291 1 NA
chr1:3761853-3761916 4721.08480731232 47.2108480731232 1 NA
chr1:3764039-3764178 11915.691128565 119.15691128565 1 NA
chr1:3765172-3765346 13682.1839886709 136.821839886709 1 NA
chr1:3768859-3768972 14157.262484723 141.57262484723 1 NA
chr1:6309398-6310064 31683.1632867756 316.831632867756 1 NA
chr1:6310500-6310685 12393.3609877482 123.933609877482 1 NA
chr1:6311398-6311591 37943.7359551873 379.437359551873 1 NA
chr1:6313778-6314208 36192.4212110366 361.924212110366 1 NA
chr1:6314610-6314966 46390.7421987292 463.907421987292 1 NA
chr1:8921419-8921489 3050.40212483559 30.5040212483559 1 NA
chr1:8922946-8923005 5998.45608953326 59.9845608953326 1 NA
chr1:8923294-8923403 8181.35491867924 81.8135491867924 1 NA
chr1:8923950-8924152 16621.52634751 166.2152634751 1 NA
chr1:8925344-8925542 10182.0796386379 101.820796386379 1 NA
chr1:8926338-8926561 34723.1750956253 347.231750956253 1 NA
chr1:8927176-8927310 23058.2223309232 230.582223309232 1 NA
chr1:8928047-8928117 9877.19273695173 98.7719273695173 1 NA
chr1:8930511-8930570 2810.64638784006 28.1064638784006 1 NA
chr1:8931950-8932046 7308.55326731853 73.0855326731853 1 NA
chr1:8934883-8934968 5973.95833318401 59.7395833318401 1 NA
chr1:10292387-10292493 8069.98817955372 80.6998817955372 1 NA
chr1:10316305-10316382 14609.2026617557 146.092026617557 1 NA
chr1:10318551-10318731 11334.886295875 113.34886295875 1 NA
chr1:10321963-10322029 9989.38532800848 99.8938532800848 1 NA
chr1:10327438-10327617 9218.95281773373 92.1895281773373 1 NA
chr1:10328210-10328322 5799.97122917184 57.9997122917184 1 NA
chr1:10331560-10331638 6620.02454241567 66.2002454241567 1 NA
chr1:10332299-10332365 6477.03365124341 64.7703365124341 1 NA
chr1:10335486-10335562 7212.75840587869 72.1275840587869 1 NA
chr1:10336379-10336458 9848.65328042236 98.4865328042236 1 NA
chr1:10338044-10338187 7507.00203067318 75.0700203067318 1 NA
